,store_id,region,type_of_business,amount,Date
2016-11-26,8,부산 동래구,한식 음식점업,449285.7142857143,2016-11-26
2016-12-10,8,부산 동래구,한식 음식점업,301785.7142857143,2016-12-10
2016-12-24,8,부산 동래구,한식 음식점업,251428.57142857142,2016-12-24
2017-01-07,8,부산 동래구,한식 음식점업,197642.8571428571,2017-01-07
2017-01-21,8,부산 동래구,한식 음식점업,284500.0,2017-01-21
2017-02-04,8,부산 동래구,한식 음식점업,198642.85714285713,2017-02-04
2017-02-18,8,부산 동래구,한식 음식점업,248214.2857142857,2017-02-18
2017-03-04,8,부산 동래구,한식 음식점업,266357.14285714284,2017-03-04
2017-03-18,8,부산 동래구,한식 음식점업,277214.2857142857,2017-03-18
2017-04-01,8,부산 동래구,한식 음식점업,485785.71428571426,2017-04-01
2017-04-15,8,부산 동래구,한식 음식점업,523428.5714285715,2017-04-15
2017-04-29,8,부산 동래구,한식 음식점업,405857.14285714284,2017-04-29
2017-05-13,8,부산 동래구,한식 음식점업,696928.5714285715,2017-05-13
2017-05-27,8,부산 동래구,한식 음식점업,458857.14285714296,2017-05-27
2017-06-10,8,부산 동래구,한식 음식점업,359928.5714285715,2017-06-10
2017-06-24,8,부산 동래구,한식 음식점업,561428.5714285714,2017-06-24
2017-07-08,8,부산 동래구,한식 음식점업,712429.1428571428,2017-07-08
2017-07-22,8,부산 동래구,한식 음식점업,601500.0000000001,2017-07-22
2017-08-05,8,부산 동래구,한식 음식점업,534000.0,2017-08-05
2017-08-19,8,부산 동래구,한식 음식점업,403999.9999999999,2017-08-19
2017-09-02,8,부산 동래구,한식 음식점업,567857.1428571428,2017-09-02
2017-09-16,8,부산 동래구,한식 음식점업,385785.7142857143,2017-09-16
2017-09-30,8,부산 동래구,한식 음식점업,566714.2857142858,2017-09-30
2017-10-14,8,부산 동래구,한식 음식점업,277642.8571428572,2017-10-14
2017-10-28,8,부산 동래구,한식 음식점업,192500.0,2017-10-28
2017-11-11,8,부산 동래구,한식 음식점업,242571.4285714286,2017-11-11
2017-11-25,8,부산 동래구,한식 음식점업,277071.4285714285,2017-11-25
2017-12-09,8,부산 동래구,한식 음식점업,332285.71428571426,2017-12-09
2017-12-23,8,부산 동래구,한식 음식점업,202857.14285714284,2017-12-23
