,store_id,region,type_of_business,amount,Date
2016-11-23,8,부산 동래구,한식 음식점업,628571.4285714286,2016-11-23
2016-12-21,8,부산 동래구,한식 음식점업,513999.99999999994,2016-12-21
2017-01-18,8,부산 동래구,한식 음식점업,520428.5714285714,2017-01-18
2017-02-15,8,부산 동래구,한식 음식점업,479571.4285714285,2017-02-15
2017-03-15,8,부산 동래구,한식 음식점업,752428.5714285715,2017-03-15
2017-04-12,8,부산 동래구,한식 음식점업,881714.285714286,2017-04-12
2017-05-10,8,부산 동래구,한식 음식점업,1229499.9999999998,2017-05-10
2017-06-07,8,부산 동래구,한식 음식점업,845357.1428571428,2017-06-07
2017-07-05,8,부산 동래구,한식 음식점업,1307357.1428571427,2017-07-05
2017-08-02,8,부산 동래구,한식 음식점업,970928.5714285714,2017-08-02
2017-08-30,8,부산 동래구,한식 음식점업,982785.7142857146,2017-08-30
2017-09-27,8,부산 동래구,한식 음식점업,855214.2857142858,2017-09-27
2017-10-25,8,부산 동래구,한식 음식점업,435928.5714285714,2017-10-25
2017-11-22,8,부산 동래구,한식 음식점업,563500.0000000001,2017-11-22
2017-12-20,8,부산 동래구,한식 음식점업,590000.0,2017-12-20
2018-01-17,8,부산 동래구,한식 음식점업,397357.1428571428,2018-01-17
2018-02-14,8,부산 동래구,한식 음식점업,598714.2857142857,2018-02-14
2018-03-14,8,부산 동래구,한식 음식점업,600000.0,2018-03-14
2018-04-11,8,부산 동래구,한식 음식점업,1173999.9999999998,2018-04-11
2018-05-09,8,부산 동래구,한식 음식점업,1667285.714285714,2018-05-09
2018-06-06,8,부산 동래구,한식 음식점업,1117214.2857142861,2018-06-06
2018-07-04,8,부산 동래구,한식 음식점업,1118757.1428571427,2018-07-04
2018-08-01,8,부산 동래구,한식 음식점업,972714.2857142857,2018-08-01
2018-08-29,8,부산 동래구,한식 음식점업,1315199.9999999998,2018-08-29
2018-09-26,8,부산 동래구,한식 음식점업,1131714.2857142857,2018-09-26
2018-10-24,8,부산 동래구,한식 음식점업,1228142.8571428573,2018-10-24
2018-11-21,8,부산 동래구,한식 음식점업,952228.5714285711,2018-11-21
2018-12-19,8,부산 동래구,한식 음식점업,983942.8571428572,2018-12-19
2019-01-16,8,부산 동래구,한식 음식점업,1435542.857142858,2019-01-16
2019-02-13,8,부산 동래구,한식 음식점업,558957.1428571428,2019-02-13
2016-06-04,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,130604.28571428571,2016-06-04
2016-07-02,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,88585.71428571429,2016-07-02
2016-07-30,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,151471.42857142855,2016-07-30
2016-08-27,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,401314.2857142856,2016-08-27
2016-09-24,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,395932.85714285716,2016-09-24
2016-10-22,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,314271.4285714286,2016-10-22
2016-11-19,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,162142.85714285716,2016-11-19
2016-12-17,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,3014.285714285714,2016-12-17
2017-01-14,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,19557.14285714286,2017-01-14
2017-02-11,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,4714.285714285715,2017-02-11
2017-03-11,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,42428.57142857143,2017-03-11
2017-04-08,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,5428.571428571429,2017-04-08
2017-05-06,12,서울 종로구,배관 및 냉ㆍ난방장치 도매업,0.0,2017-05-06
